mw,tw,semrel_synonym,semrel_antonym,semrel_hyponym,semrel_hypernym,collocation,cultural_ref,other
huddle,gather,,,,1,,,
huddle,football,,,,,1,,
huddle,group,,,,1,,,
huddle,play,,,,,1,,
huddle,together,,,,,1,,
croak,frog,,,,,1,,
croak,die,1,,,,,,
croak,kick,,,,,,,1
croak,sound,,,,1,,,
croak,noise,,,,1,,,
positive,negative,,1,,,,,
positive,plus,1,,,,,,
positive,good,1,,,,,,
positive,certain,1,,,,,,
positive,sure,1,,,,,,
airplane,wings,,,,,1,,
airplane,fly,,,,,1,,
airplane,runway,,,,,1,,
airplane,jet,,,1,,,,
airplane,pilot,,,,,1,,
surprise,astonish,1,,,,,,
surprise,party,,,,,1,,
surprise,expect,,,,,1,,
surprise,birthday,,,,,1,,
surprise,off-guard,1,,,,,,
skirt,clothing,,,,1,,,
skirt,blouse,,,,,1,,
skirt,mini,,,,,1,,
skirt,dress,,,,,1,,
skirt,wear,,,,,1,,
ballerina,dancer,,,1,,,,
ballerina,tutu,,,,,1,,
ballerina,tights,,,,,1,,
ballerina,toe,,,,,1,,
ballerina,baryshnikov,,,,,,1,
giggle,laugh,1,,,,,,
giggle,chuckle,1,,,,,,
giggle,funny,,,,,1,,
giggle,silly,,,,,1,,
giggle,tickle,,,,,1,,
aquarium,tank,,,,1,,,
aquarium,fish,,,,,1,,
aquarium,water,,,,,1,,
aquarium,sea,,,,,1,,
aquarium,glass,,,,,,,1
cemetery,grave,,,,,1,,
cemetery,stones,,,,,1,,
cemetery,dead,,,,,1,,
cemetery,funeral,,,,,1,,
cemetery,bury,,,,,1,,
testimony,courtroom,,,,,1,,
testimony,evidence,,,,,1,,
testimony,witness,1,,,,,,
testimony,give,,,,,1,,
testimony,oath,,,,,1,,
orange,citrus,,,,1,,,
orange,juice,,,,,1,,
orange,round,,,,,,,1
orange,fruit,,,,1,,,
orange,marmelade,,,,,1,,
violin,music,,,,,1,,
violin,instrument,,,,1,,,
violin,string,,,,,1,,
violin,bow,,,,,1,,
violin,chin,,,,,1,,
manure,farm,,,,,1,,
manure,cow,,,,,,,
manure,fertilizer,1,,,,,,
manure,spread,,,,,1,,
manure,stink,,,,,1,,
kite,fly,,,,,1,,
kite,wind,,,,,1,,
kite,string,,,,,1,,
kite,ben franklin,,,,,,1,
kite,sky,,,,,1,,
ponytail,hairdo,,,,1,,,
ponytail,girl,,,,,1,,
ponytail,pull,,,,,1,,
ponytail,braids,,,,1,,,
ponytail,elastic band,,,,,1,,
paper route,delivery,1,,,,,,
paper route,newscarrier,,,,,1,,
paper route,job,,,,1,,,
paper route,kids,,,,,1,,
paper route,bike,,,,,1,,
new years eve,party,,,,,1,,
new years eve,times square,,,,,,1,
new years eve,january,,,,,,,1
new years eve,december,,,,,,,1
new years eve,midnight,,,,1,,,
microwave,food,,,,,1,,
microwave,appliance,,,,1,,,
microwave,oven,1,,,,,,
microwave,cook,,,,,1,,
microwave,fast,,,,,1,,
pastel,light,,,,,1,,
pastel,color,,,,1,,,
pastel,shade,,,,1,,,
pastel,soft,,,,,1,,
pastel,pale,1,,,,,,
jockey,ride,,,,,1,,
jockey,horse,,,,,1,,
jockey,race,,,,,1,,
jockey,saddle,,,,,1,,
jockey,track,,,,,1,,
thermometer,fever,,,,,1,,
thermometer,mouth,,,,,1,,
thermometer,hot,,,,,1,,
thermometer,cold,,,,,1,,
thermometer,temperature,,,,,1,,
argument,spat,1,,,,,,
argument,fight,1,,,,,,
argument,dispute,1,,,,,,
argument,yell,,,,,1,,
argument,disagree,,,,,1,,
rigor mortis,body,,,,,1,,
rigor mortis,dead,,,,,1,,
