mw,tw
huddle,gather
huddle,football
huddle,group
huddle,play
huddle,together
croak,frog
croak,die
croak,kick
croak,sound
croak,noise
positive,negative
positive,plus
positive,good
positive,certain
positive,sure
airplane,wings
airplane,fly
airplane,runway
airplane,jet
airplane,pilot
surprise,astonish
surprise,party
surprise,expect
surprise,birthday
surprise,off-guard
skirt,clothing
skirt,blouse
skirt,mini
skirt,dress
skirt,wear
ballerina,dancer
ballerina,tutu
ballerina,tights
ballerina,toe
ballerina,baryshnikov
giggle,laugh
giggle,chuckle
giggle,funny
giggle,silly
giggle,tickle
aquarium,tank
aquarium,fish
aquarium,water
aquarium,sea
aquarium,glass
cemetery,grave
cemetery,stones
cemetery,dead
cemetery,funeral
cemetery,bury
testimony,courtroom
testimony,evidence
testimony,witness
testimony,give
testimony,oath
orange,citrus
orange,juice
orange,round
orange,fruit
orange,marmelade
violin,music
violin,instrument
violin,string
violin,bow
violin,chin
manure,farm
manure,cow
manure,fertilizer
manure,spread
manure,stink
kite,fly
kite,wind
kite,string
kite,ben franklin
kite,sky
ponytail,hairdo
ponytail,girl
ponytail,pull
ponytail,braids
ponytail,elastic band
paper route,delivery
paper route,newscarrier
paper route,job
paper route,kids
paper route,bike
new years eve,party
new years eve,times square
new years eve,january
new years eve,december
new years eve,midnight
microwave,food
microwave,appliance
microwave,oven
microwave,cook
microwave,fast
pastel,light
pastel,color
pastel,shade
pastel,soft
pastel,pale
jockey,ride
jockey,horse
jockey,race
jockey,saddle
jockey,track
thermometer,fever
thermometer,mouth
thermometer,hot
thermometer,cold
thermometer,temperature
argument,spat
argument,fight
argument,dispute
argument,yell
argument,disagree
rigor mortis,body
rigor mortis,dead
rigor mortis,stiff
rigor mortis,corpse
rigor mortis,rigid
bachelor,man
bachelor,unmarried
bachelor,single
bachelor,wife
bachelor,wed
detroit,michigan
detroit,cars
detroit,motown
detroit,pistons
detroit,city
bonanza,cartwrights
bonanza,ponderosa
bonanza,western
bonanza,television
bonanza,ranch
scoop,ice cream
scoop,reporter
scoop,cone
scoop,newspaper
scoop,story
decipher,decode
decipher,interpret
decipher,secret
decipher,read
decipher,figure
swelter,heat
swelter,sweat
swelter,perspire
swelter,hot
swelter,temperature
gift,wrap
gift,present
gift,christmas
gift,birthday
gift,give
off,on
off,shut
off,bug spray
off,light switch
off,turn
conductor,orchestra
conductor,train
conductor,ticket
conductor,baton
conductor,lead
bald,head
bald,hair
bald,yul Brenner
bald,rug
bald,toupee
venus,love
venus,goddess
venus,planet
venus,flytrap
venus,beauty
stuffing,turkey
stuffing,pillow
stuffing,bread
stuffing,dressing
stuffing,stove
coast,ocean
coast,guard
coast,land
coast,water
coast,seashore
carriage,baby
carriage,horse
carriage,push
carriage,pull
carriage,vehicle
card,send
card,deck
card,52
card,game
card,play
syrup,maple
syrup,pancakes
syrup,trees
syrup,sap
syrup,sweet
stagger,sway
stagger,drunk
stagger,walk
stagger,unsteady
stagger,straight
usher,theater
usher,seat
usher,movies
usher,wedding
usher,best man
asp,snake
asp,cleopatra
asp,poison
asp,bite
asp,egypt
cast,actor
cast,fishing
cast,broken
cast,plaster
cast,bone
canoe,boat
canoe,paddle
canoe,indian
canoe,water
canoe,birchbark
applause,cheers
applause,clapping
applause,ovation
applause,perform
applause,hand
emergency,crisis
emergency,911
emergency,help
emergency,call
emergency,situation
adolescent,adult
adolescent,teenager
adolescent,puberty
adolescent,young
adolescent,kid
dog sled,travel
dog sled,husky
dog sled,alaska
dog sled,snow
dog sled,mush
invitation,wedding
invitation,rsvp
invitation,mail
invitation,party
invitation,friend
love,hate
love,like
love,heart
love,marriage
love,fall
trophy,cup
trophy,prize
trophy,award
trophy,win
trophy,ports
harvest,fall
harvest,moon
harvest,reap
harvest,pick
harvest,autumn
champagne,wine
