# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="be"][word="part"][word="of"]
# CORPUS:        encow16a-nano
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://globality.cc.stonybrook.edu/?p=104	The debate about whether the United States is and / or possesses	an empire is part of	academic and popular discourse like never before in living memory .
http://www.sheffieldforum.co.uk/archive/index.php/t-754351.html	The tram is no good to me as it goes no where near wherei live and causes traffic	A tram is part of	traffic , the number of people who use it reduce the number of cars on the road .
http://bitz-and-bobz.co.uk/copd/page/12	Steps , stretch , weight , and stand up exercises for half an hour at least three times	a week are part of	my fitness routine .
http://www.the-tls.co.uk/tls/public/article1348385.ece	That the CAG 's management was	a disaster is part of	his point .
http://www.quantum-mind.co.uk/searle-on-consciousness-freewill-c507.html	Consciousness is unified in the sense that the taste of food and the feeling of	an object are part of	a single consciousness moment .
http://www.independent.co.uk/news/business/analysis-and-features/selling-books-is-what-i-do-i-am-a-specialist-2290387.html	"	A bookshop is part of	the community , " he says .
http://www.cafebabel.co.uk/article/21976/i-am-a-skinhead-from-moscow.html	Such	a process is part of	a systematic judicial practice according to the SOWA institute : ' There is no obligation to record suspicions of racism , which means prosecution for hate crime can be prevented in the majority of cases , ' plead experts .
http://kansasmeadowlark.com/blog/2008/08/02/irs-stonewalls-investigation-of-kansas-non-profits-active-in-politics-in-2006	The IRS did not agree that	a blog was part of	the media and denied the request .
http://eom.byu.edu/index.php/Material_Culture	Every object created or modified by members of	a group is part of	that group 's material culture .
http://mobileoffice.about.com/od/businesstravelersadvice/tp/hotelsafetytips.htm	Staying in	a hotel is part of	a mobile professinals way of life .
http://www.voa.gov.uk/corporate/Publications/Manuals/CouncilTaxManual/council_tax_man_s2/d-ct-man-s2-pt3.html	Where	a dwelling is part of	a composite property ( ie a property used for both domestic and non-domestic purposes regardless of whether the non-domestic part is subject to non-domestic rating ) , the survey particulars should be completed in respect of the domestic part only .
http://swarb.co.uk/lisc/LanTe12001799.php	As for a door I deny that but in respect of a post I concede it as	a post is part of	a house .
http://bmjopen.bmj.com/content/2/2/e000710.full	Rewording of items for specific conditions and for people without	a diagnosis are part of	the standard use of the questionnaire ,20 and items in section B were adapted to be appropriate to this study .
http://alchemi.co.uk/archives/2006_04.html	The segments in the circle represent different genres of music within the collection ; the distance of each track ( represented by dots ) from the centre shows how old or recent it is ; adjacent tracks all come from the same album ; and the colour highlights show whether	a track is part of	a current playlist .
http://angels.about.com/od/AngelBasics/f/Do-I-Have-My-Own-Guardian-Angel.htm	Influential Jewish theologian Maimonides ( Rabbi Moshe ben Maimon ) wrote in his book Guide for the Perplexed that " the term ' angel ' signifies nothing but a certain action " and " every appearance of	an angel is part of	a prophetic vision , depending on the capacity of the person that perceives it .
http://www.howto.co.uk/abroad/spanish-law/eviction_and_complaints	What tenants are told about	a property is part of	an education programme .
http://www.guardian.co.uk/lifeandstyle/2008/jan/09/fashion.shopping	" Here , " he says , "	a hairstyle is part of	a total look ; it 's inspired by music , fashion , a whole scene .
http://ndpr.nd.edu/news/24450-more-kinds-of-being-a-further-study-of-individuation-identity-and-the-logic-of-sortal-terms	Hence , in my view , it is intuitive to think of zero as a number , and thus , zero 's being	a number is part of	the intuitive data for the ontology of elementary arithmetic .
http://www.artsjournal.com/sandow/2009/12/day_of_reckoning.html	For the Calder , playing with	a band is part of	their identity as musicians , just as playing Tom Ades and Ravel and Mozart represents another aspect .
http://www.britgo.org/tech/gmp.html	If	a command is part of	a series of commands to be sent ( not a part of an extended multiple command ) , the sender should cancel sending the remaining queued up commands .
http://cy.revues.org/2229	Drawing a conclusion from the cases studied here , the process of becoming an artist in the art schools of the Soviet Union as well as the know-how gained from such	an experience is part of	an overall experience that marks the individual and the professional 's development .
http://www.americantrails.org/quotes3.html	When	a man is part of	his canoe , he is part of all that canoes have ever known .
http://www.articledepot.co.uk/article-197116.htm	Each of us comes into the world with	a wound-it is part of	our human condition .
http://www.red-bean.com/sgf/user_guide	To make it clear :	a move is part of	a node and not the node part of the move .
http://hugogiraudel.com/2013/10/17/sass-random	The function used to raise a value to	an exponent is part of	Compass Math helpers .
http://irosf.com/q/zine/article/10637		A fish was part of	the father 's memory of " the perfect day of his childhood .
http://dnr.maryland.gov/fisheries/fishingreport/fishingrptArchive/frarchives2009/073009chesapeake.asp	Bluefish are in the area so coming up with half	a spot is part of	the game .
http://blog.xamarin.com/page/12	The API for detecting	an iBeacon is part of	the Core Location framework , and should feel similar to the APIs used for geographic region monitoring that have existed for some time .
http://www.the-philosopher.co.uk/apologies.htm	Accepting	an apology is part of	an exchange between equals ; it is motivated by and seeks to reinforce fellow-feeling .
http://ebeltz.net/column/chs/1994colu.html	The hour-long protest near	a mosque was part of	a campaign by fundamentalist groups against the controversial author .
http://www.bighospitality.co.uk/Trends-Reports/Restaurant-groups-cut-energy-consumption-by-up-to-15-by-changing-staff-behaviour	As much as cleanliness in	a kitchen is part of	a habit , thinking about turning off a fryer when it is n't in use needs to be part of the daily habits .
http://www.e-goat.co.uk/forums/archive/index.php/t-1149.html?s=287d1bfe73b363fff3eef99d3e7c5ba0	- The paperwork for	a job is part of	the job so sign for what you 've done and never sign for something you have n't done - especially supervision !
http://the-orb.net/encyclop/culture/towns/lynnmap1.html		A drawbridge was part of	the defences , although this was placed after the regular bridge crossing the Nar .
http://mashable.com/2011/07/13/foursquare-marketing-campaigns	" I think the fact that we 're not a bar or	a restaurant is part of	what 's so compelling , because people think it 's interesting , " says Bonilla-Warford .
http://archive.futurelab.org.uk/resources/publications-reports-articles/discussion-papers/Discussion-Paper261	While it would be fair to say that for many children today	a computer is part of	the furniture in their home , for the vast majority of children electronic games are a regular but not a central part of their lives .
http://philip.greenspun.com/politics/health-care-reform	Right now	a doctor being part of	an insurance company 's network probably means that he or she is willing to accept the company 's derisory financial terms .
http://www.aphotoeditor.com/2011/11/21/smiling-is-superficial	Pulling emotion from	a subject is part of	the skill .
http://pragmatic.nationalinterest.in/2009/01/18/relgious-symbols-in-uniform	It is best for courts to examine whether or not sporting	a beard is part of	being a Muslim .
http://arcweb.sos.state.or.us/pages/rules/oars_400/oar_411/411_308.html	( B ) This notification requirement does not apply if	an action is part of	, or fully consistent with , a child 's ISP and the child 's parent or guardian has agreed with the action by signing the child 's ISP .
http://www.dogpages.org.uk/forums/lofiversion/index.php?t179866.html	i think some of you are taking this out of context this lady is an obvious dog lover and thinks that	a dog is part of	the family and should be treated as such .
http://benswann.com/sc-police-department-gets-u-n-blue-tank-that-is-land-mine-ied-resistant	Columbia 's obtaining	a MRAP is part of	a wave of increasing police militarization .
http://www.eharmony.co.uk/relationship-advice/using-eharmony/2011/02/10-ways-to-make-eharmony-work-for-you-%e2%80%93-by-our-success-couples	As a visual person seeing	a pic is part of	what helps me to make that initial decision to send eg .
http://inrng.com/2011/11/the-pre-season-training-camp	After all these companies want their kit to look good and ensuring it hangs right on	a pro is part of	this .
http://scholar.lib.vt.edu/ejournals/SPT/v13n2/garbacz.html	The state of affairs that John is	an accountant is part of	the state of affairs that he is an absent-minded accountant .
http://www.rodsmith.org.uk/alfred-korzybski/science-sanity%20-%200405.htm	The structural assumption in question is that ' if	a collection is part of	another , the one which is a part must have fewer terms than the one of which it is a part ' .
http://www.fertilityfriends.co.uk/forum/index.php?PHPSESSID=iicpuueuo8ua0mqugllff8a6u2%26action=printpage;topic=280511.0	It is sometimes the shock and unknown talking I guess , and one	a child is part of	the family then the rest does n't matter .
http://channel9.msdn.com/events/BUILD/BUILD2011/BPS-1004	I could see	a tablet being part of	things like a doctor 's office slate replacing all the paperwork and files that he / she must carry from patient to patient .
http://www.yamahaforums.co.uk/forum/viewtopic.php?p=27365%26sid=c3879ed8bcd5fd14854fe47f1fe1eeef	Indeed	a reset is part of	the routine when you do a battery change , I may be wrong but I think for the DX 7 s reset involves inserting the factory rom cartridge with the original sounds and loading them .
http://cfpub2.epa.gov/ncer_abstracts/index.cfm/fuseaction/display.abstractDetail/abstract/8453/report/2004	Two percent of the addresses were located to the correct block but with unknown position along the block , which occurred most often in the rural communities of Lake Arrowhead , Alpine , and Lompoc or when	an address was part of	a large apartment complex .
http://web.expasy.org/spotlight/back_issues/054	Nevertheless , as the 20th century bows out and the 21st bows in , it appears that - though pigmentation as	a whole is part of	an intricate biochemical network - the colour of our eyes does indeed seem to be in the hands of one gene which codes for a protein known as the P protein .
http://plato.stanford.edu/entries/identity-personal	It does not say that being	an animal is part of	what it is to be a person ( a view defended in Wiggins 1980 , 171 and Wollheim 1984 , ch 1 and criticized in Snowdon 1996 ) .
http://www.christiantruth.com/articles/canon.html	There are a couple that Athanasius does receive such as Baruch but he mistakenly thought such	a work was part of	canonical Jeremiah .
http://www.cs.man.ac.uk/~pjj/cs211/ho/node15.html	There is a related question to do with arrays ; assuming we have the correct number of dimensions , if the length of	an array is part of	the type ( which advocates of strong typing say should be the case ) it is impossible to write a single function that can deal with arrays of any size .
http://andrewgough.co.uk/forum/viewtopic.php?f=37%26t=1795%26start=0%26sid=c33d938ba469a645cf1a68927467e11b%26view=print	The forerunners who would have been sacrificed but who were n't like Isaac and was replaced by	a lamb is part of	this scenario .
http://en.citizendium.org/wiki/Colonialism		A colony is part of	an empire and so colonialism is closely related to imperialism .
http://www.swarb.co.uk/lisc/Insur19971997.php	The court asked whether	an endorsement was part of	the penalty and rehabilitated .
http://news.bbc.co.uk/2/hi/uk_news/magazine/6399961.stm	The word " gang " terrifies me now - when I was	a child being part of	a gang was like the Famous Five or the Secret Seven .
http://www.fordham.edu/halsall/source/aquinas2.asp	For since	a man is part of	the multitude , whatever he is or has belongs to the multitude as a part belongs to the whole .
http://erlang.org/doc/efficiency_guide/binaryhandling.html	All ProcBin objects in	a process are part of	a linked list , so that the garbage collector can keep track of them and decrement the reference counters in the binary when a ProcBin disappears .
http://process.arts.ac.uk/comments/recent?page=12	Where	a work is part of	a group exhibition , the curator will also appreciate an accurate proposal ; installation works can often affect the work displayed nearby .
http://www.ribbonfarm.com/2011/03/01/where-the-wild-thoughts-are	" Starving artist " is only a compliment if starvation as	a spectacle is part of	your performance-art act .
http://dwardmac.pitzer.edu/ANARCHIST_ARCHIVES/bookchin/gp/perspectives20.html	Such	an effort is part of	the maximum program of a Green movement .
http://www.parksandgardens.ac.uk/component/option,com_parksandgardens/task,sites/category,organisations/organisation,Historic%2BScotland/page,10/Itemid,292	A canalised section of the burn leading to	a summerhouse is part of	an earlier landscape .
