# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="can"][lemma="be"][word="found"]
# CORPUS:        encow16a-nano
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.vrrf.org/ropard-home/pediatric-retinal-disease/persistent-fetal-vasculature-syndrome-pfvs	Norrie 's disease testing will confirm the diagnosis in 80 % of the cases , leaving 20 % of children where	a mutation cannot be found	, but clinical examination confirms Norrie 's disease .
http://davesgarden.com/guides/articles/view/2715	Descriptions on how to build	a coldframe can be found	elsewhere , but I will go briefly over a few ways I have constructed a seed box below .
http://www.abdn.ac.uk/registry/quality/section8.shtml		A student cannot be found	to have committed plagiarism where it can be shown that the student has taken all reasonable care to avoid representing the work of others as his or her own ( Section 2.1.1 ( h ) of the Code refers ) .
http://forum.sydenham.org.uk/viewtopic.php?f=10%26t=742%26sid=248a8258e84cbcd5ea6385c41a0005a9		An original can be found	here : uriblank < < < < < < < < < Central Fountain with one of the two mid-range fountains at the side .
http://www.law.ed.ac.uk/sln/blogentry.aspx?blogentryref=8825		An example can be found	at ( 2002 ) 6 Edinburgh Law Review 244 , but many others are cited in Nick McBride 's provisional bibliography below .
http://www2.warwick.ac.uk/fac/soc/law/elj/jilt/2000_1/free_the_law/transcript	I often like to go back into history to see if the answer to	a problem can be found	in the past .
http://www.trivago.co.uk/london-38715/attractions/events--festivals/f_185=1	Public parking against	a fee can be found	nearby and , due to its central location , the area is well served by public transport .
http://www.ariadne.ac.uk/issue10/bubl	As long as	an institution can be found	via this route , there is no need to keep a bookmark unless the site is frequently accessed .
http://www.eldritchpress.org/chh/h7.html	Now , such	a square can be found	in the one whose side is five units in length .
http://h264.code-shop.com/trac/discussion/topic/90?discussion_action=quote;message=354	If you only want the module 's files , then	a list can be found	in .
http://fair-use.org/rampart-journal/1965/12/autarchy-versus-anarchy	If	a word can be found	to convey the meaning I intend , it must mean self-rule ; the absolute sovereignty of the individual over himself and all that belongs to him .
http://mit.irr.org/facts-on-book-of-mormon-witnesses-part-1	Though no prior mention of such	an event can be found	, starting in 1834 , both Joseph and Oliver claimed the angel appeared to them in 1829 , and gave them " the holy priesthood .
http://bobpark.physics.umd.edu/WN02/wn100402.html	There is , of course , no claim so preposterous that	an expert cannot be found	to vouch for it .
http://hermanbavinck.org/biography	For an introduction to Bavinck ,	a biography can be found	here .
http://www.robertbuchanan.co.uk/html/witchfinder.html	Robert Buchanan-the author of " Undertones , " - writes an original play , and	a management can be found	, even in the suburbs , with sufficient spirit and courage to produce it , it is far from gratifying not to be able to speak warmly of the production .
http://www.romtext.cf.ac.uk/reports/engnov3.html	No mention of	a sister can be found	in two letters from Chalklen 's father , on 8 Jan and 11 Mar 1828 , concerning what appears to be a private financing of ' The Hebrew ' with Blackwood handling the public launch ( MS 4021 , ff. 84 , 86 ) .
http://econfaculty.gmu.edu/wew/articles/98/insanities.html	There is an EEOC provision that might help explain flight delays namely , that "	An employer can be found	in violation of the ADA for failing to adjust the work hours of an employee whose chronic tardiness results from depression .
http://www.diabetes-support.org.uk/diabetes_blogs/?p=291	" If	a way can be found	to stimulate islet growth , we could improve their diabetes and reduce insulin usage or better control blood glucose levels .
http://gnosis.org/gnostic-jung/The-Gnostic-Jung.html	It appears to us that such	a way can be found	, and that it must of necessity be composed of two main sources .
http://www.bbc.co.uk/blogs/andrewbenson/2011/01/f1_teams_battle_over_cost-cutt.html	" I think	a solution can be found	for the outstanding issues , it just needs some sensible discussion between the teams , because the thought of an unrestricted spend in F 1 is unpalatable for all the teams .
http://makeithappen.com/spsj/deployin.htm	If	a handle cannot be found	in two tries , it is suggested to immediately deploy the reserve parachute .
http://www.ukzambians.co.uk/home/category/colums/dr-kaela-mulenga/page/4	Unless	a solution can be found	rather quickly - living conditions for many people would be difficult .
http://www.srtt.co.uk/blog		A pattern can be found	in people fishing and farming the lower lying land and in using nearby hills as sacred sites .
http://idsa.org/placements-contextualizing-design-thinking	Indeterminacy does not mean that	a solution cannot be found	, rather that the nature of the solution cannot be preordained or predetermined .
http://www.hostelo.co.uk/france/aigues-mortes		A supermarket can be found	within 1.5 km from L ' Oliveraie de Paul , and Aigues-Mortes with its cafes and restaurants is a 10 - minute drive away .
http://jhaines6.wordpress.com/2013/08/27/ben-fulford-latest-attempt-to-start-world-war-3-in-syria-a-sign-of-cabal-desperation-august-27-2013	If Science is released from the iron grip of the Maniacs perhaps	a solution can be found	.
http://www.bbc.co.uk/musictv/maestro/episodes/choral-music	Surely an extra half	an hour can be found	.
http://www.cichlid-forum.com/profiles/species.php?id=1669	This does not mean	a fish cannot be found	in other habitats .
http://www.takecontrolbooks.com/pdfpen-6?aff=AFL1361639390	Also , while this book should work with subsequent updates to PDFpen , I suggest that you check the blog for this book occasionally (	a link can be found	in Ebook Extras ) ; we often provide information about new updates and new capabilities there .
http://www.kamera.co.uk/article.php/566	Such	a contrast can be found	running throughout Germi 's work - the melancholia of so many hearts left wanting by life , and the sheer exuberance of telling stories for the cinema .
http://www.radstats.org.uk/no079/webster.htm	It still believes that welfare benefits for lone parents must not be raised to levels which would eradicate child poverty in this group , instead believing that	an answer can be found	by pushing and pulling lone parents into work through measures such as WFTC and " work-focused interviews " .
http://helengazeley.typepad.co.uk/gardenwriter/page/17	Christmas presents with	a provenance can be found	at Hen and Hammock , a company that looks closely at its products and their suppliers .
http://www.dogpages.org.uk/forums/lofiversion/index.php?t252390.html	Now most of the time , 2 dogs and	a kitten can be found	on it ...
http://daggle.com/google-maps-gains-avoid-arizona-option-1810	Indeed , the law cannot possibly be applied against U.S. citizens ; only	an alien can be found	guilty under the Arizona statute .
http://dnr.wi.gov/topic/CompAssist/sb/AirRegs.html	Information on the rule and how it might apply to	a company can be found	on DNR 's Air Toxics page .
http://www.indiana.edu/~cshm/eadbrowse.html	Additional information for obtaining a copy of	an interview can be found	on our Copy Costs and Policies page .
http://gate.ac.uk/sale/tao/splitch18.html		An example can be found	at / gate / plugins / learning / test / relation-learning / engines-svm .
http://www.pmwiki.org/wiki/Cookbook/RenamePage		An example can be found	at WikiShExamples hashtagblank ( for an individual page ) or WikiShExamples hashtagblank ( for an entire group ) showing how this can be done .
http://www.sr.bham.ac.uk/asterix/cookbooks/cook_001/node7.html	If such	a file cannot be found	in the same directory as the executable is located then the following error message will be issued .
http://www.heretical.com/pavlov/index.html		An explanation can be found	in Pavlov 's careful , painstaking methods , his adequate controls , his habit of giving the same problem to several collaborators working in separate laboratories or institutes , with whom he checked results and supervised experiments except in the last years of his life .
