# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="look" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a-nano
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.boxing-monthly.co.uk/content/0712/three.htm	I think that Mayweather is the sort of boxer who can adapt to almost any situation , who has it in him to rise to another level when	a fight looks like	slipping away from him .
http://www.midnightministries.org.uk/questions_prophetic.htm	What does	a prophet look like	?
http://www.cs.princeton.edu/~chazelle/pubs/algorithm.html	Biologists have by now a pretty good idea of what	a cell looks like	, but they 've had trouble figuring out the magical equations that will explain what it does .
http://clamormagazine.org/issues/32/sex%26gender.php	The tacit link between the viewer and the people in the photographs is their shared notion of what it means to be a family - quite literally , of what	a family looks like	.
http://bechollashon.org/media/news/12-8-2006.php	On the flip side , he enjoyed " breaking the mold " of what	a Jew looks like	.
http://www.purifymind.com/NandaHeavenHell.htm	If you wish to see how	a nymph looks like	, no problem .
http://erlc.com/article/the-manliness-of-adoption-testosterone-and-pure-religion	And to stick a face in their face and to say , " This is what	a daddy looks like	.
http://thomashawk.com/2006/01/cat-world-launches-new-website.html	" and features a photo of	a cat looking like	it 's ready to pounce .
http://rudiva.com	If you see	a girl looking like	a fashion model it will not be strange if she has master 's degree in quantum mechanics if she is Russian Russian girls are good mothers and housekeepers .
http://www.dogpages.org.uk/forums/lofiversion/index.php?t209172.html	> > > > So basically if a so-called ' expert ' says	a dog looks like	a pit bull type > > then there 's nothing that can be done ?
http://emg-zine.com/item.php?id=174	This is more or less what editing	a manuscript looks like	.
http://en.citizendium.org/wiki/CZ%3AHow_To	For a lengthier , more complete introduction on how to control what	a page looks like	, see CZ : How to edit an article .
http://canadafreepress.com/index.php/categories-automotive/C90	There 's no denying it , it 's a great design that from	a distance looks like	a three door but thanks to cleverly concealed rear door handles it is actually a five door vehicle .
http://cafeastrology.com/articles/scorpiowomanlove.html	She 'll wear any old sweats to work out , then turn up at	a party looking like	Helen of Troy .
http://www.picaxeforum.co.uk/archive/index.php/t-11318.html?s=e9ee312e8ca6cbefa83764e3fe45f40c	There is also a chance that you kill you opamp because for a while ( until it is charged up )	a capacitor looks like	a short to ground , which can overload your output stage ; that damage can be cumulative , meaning the circuit wo n't go up in smore right away , but its lifetime will be greatly reduced .
http://www.sheffieldforum.co.uk/archive/index.php/t-16675.html	I normally suggest Google but that produced only 7 hits - though	a couple looked like	they were people who 'd had contacts with HH so they may be worth following up .
http://hackneycitizen.co.uk/2010/07/21/the-thin-grey-line	Is the drawing for us or for herself , the artist just wanting to see what	a memory looks like	?
http://all-guitar-chords.com/topic.php?id=2476	The " physical act of playing " and " music theory " 1 ) this is what	a guitar looks like	.
http://jeffcroft.com/blog/2008/sep/30/when-can-we-stop-talking-about-supporting-browsers	You guys would really leave	a website looking like	crappola in IE 6 because your client did n't pay you extra ?
http://www.fawcettsociety.org.uk/index.asp?PageID=59	To have the current issue delivered to your home - along with your Fawcett ' this is what	a feminist looks like	' t-shirt - join Fawcett today .
http://antiochian.org/chaplaincounselingnews	" He goes on to whimsically note that if the fly that was in a garden could talk it might say : " I do n't even know what	a rose looks like	.
http://www.ministryoftruth.me.uk/2008/05/22/fallout-boy-2-the-mad-nad-special/?shared=email%26msg=fail	We can now see what	a baby looks like	at various stages of pregnancy .
http://exonous.typepad.com/mis/2004/03/images_create_f.html	And to think of what	a picture looked like	back then to what they can portray in todays society .
http://enliighten.com/blog/observing-form-blind-contour/?replytocom=484	You may think you know what	an object looks like	, but do you really know all of the intricacies ?
http://www.theparisreview.org/interviews/5391/the-art-of-fiction-no-183-tobias-wolff	When I think about the kinds of jobs I 've had and the ways I 've lived , and still managed to get work done-my God , teaching in	a university looks like	easy street .
http://doesitreallywork.org/copper-fit-review/?replytocom=543676	Overview Many people have shown an interest in the Tommie Copper line , and of course when	a product looks like	it is going to be a success then its not long before it receives some competition .
http://colorlines.com/cgi-sys/cgiwrap/colorlne/managed-mt/mt-search.cgi?IncludeBlogs=2%26template_id=125%26limit=20%26archive_type=Category%26category=6%26page=4	An enlightening , if disturbing mapping tool helps you see what 2.5 million gallons	a day looks like	in your own backyard .
http://emdashes.com/2007/07/women-filmgoers-and-women-film.php	romantic comedies today contain but a simple and unique conception of what	a woman looks like	: a woman who has been willed to be affable and nice .
http://www.fedpo.com	These first edition criteria are details about what	a book looked like	when it was initially printed as a first edition .
http://www.bootsintheoven.com/boots_in_the_oven/2009/08/arrival-in-hawaii-okonomiyaki-and-mai-tais.html	If you 've been to Benihana or other restaurants where the chef flips shrimp into his hat , or makes volcanoes out of sliced onions and teriyaki sauce , you know what	a teppan looks like	.
http://cannazine.co.uk/medical-marijuana/medicinal-cannabis/how-marijuana-became-legal.html	" But that does n't mean that every member of the collective actually knows what	a hoe looks like	.
http://www.fantasybookreview.co.uk/blog/category/aa-milne	Men character created by Hargreaves after his son , Adam , asked him what	a tickle looked like	: a round , orange figure with long , bendy arms .
