# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="mean" & tag!="N*"]
# CORPUS:        encow16a-nano
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://802quits.org/resources/tips-and-tools	All	a slip means	is that you need a little more practice handling some particular situation .
http://cafr1.com/Herman.html	I document and then provide testimony to understand the evidence ; in this case what	a law means	and what financial fraud means , especially with public officials .
http://www.world-science.net/2011	Does	a smile mean	something to a dog ?
http://clinicaltrials.gov/ct2/help/for-patient	The Learn About Clinical Studies page also explains what participating in	a study means	and discusses considerations for participation .
http://desertmuseum.org/earthcamp/read2008.php?nid=97	Being	a leader means	to take action and take charge .
http://derrenbrown.co.uk/rising-chorus-of-alarm-from-church-leaders-at-aggressive-secularism	If Christianity is	a faith meant	to control moral behavior then what of Islam and Judaism ?
http://beedoo.0catch.com/SittingInATree/0111/Comic.htm	( True , I look away when I have a shot or get blood drawn , but that 's more to avoid expected pain and tensing up with the anticipation of the poke . ) Giving Kayenta	a shot means	drawing the insulin out of the bottle with a syringe , grabbing a pinch of her neck skin , splitting that pinch of skin , and inserting the needle in that little divot .
http://artsfuse.org/27943/judicial-review-6-%e2%80%9cdivine-sparks%e2%80%9d-boston-jewish-music-festival-concert-at-berklee-how-hot-a-flame	Is it the critic 's curse that " reviewing "	a concert meant	to kindle a spiritual experience minimizes your chances of being kindled ?
http://banking.about.com/od/SendMoney/fl/Write-a-Check-to-Yourself.htm	Writing yourself	a check means	you 'll have to wait for the check to get to your bank , and you 'll have to wait for the funds to clear before you can spend any money .
http://www.thelocalnewspaper.co.uk/aggregator/categories/8?page=29	He said that being brought up as the son of	a farmer meant	the interests of the farming community were " especially dear to his heart " .
http://gcc.gnu.org/onlinedocs/gcc-2.95.3/cpp_1.html	To undefine	a macro means	to cancel its definition .
http://gcc.gnu.org/onlinedocs/gcc-2.95.3/cpp_1.html	Redefining	a macro means	defining ( with ' hashtagblank ' ) a name that is already defined as a macro .
http://gcc.gnu.org/onlinedocs/gcc-2.95.3/cpp_1.html	Such	a line means	that the following line originated in file filename at line linenum .
http://free-minds.org/forum/index.php?action=printpage;topic=9606247.0	It the context of marriage ,	a mushrik means	someone who has other partners , in other words : someone who has other lovers .
http://gameological.com/2012/04/the-tv-show-will-fire-back	The Captain Power experiment , a bald scheme to peddle the world 's least fun toys by roping kids into	a show meant	for adults , was immolated by its own hubris .
http://gameological.com/2012/10/inventory-16-fringe-religions-cults-in-games	I love the fact that Ezio 's ultimate destiny was to hear	a voicemail meant	for someone who would n't be born for another 500 years .
http://geekfeminism.org/2012/03/21/are-all-female-programmers-also-knitters	I got into knitting so that I had a common activity in which to meet more women since being	a geek means	there are n't a lot of them in my normal day .
http://gapersblock.com/ac/2013/10/11/chicago-international-film-festival-captain-phillips-machete-kills-we-are-what-we-are-the-summit-aco	Cutting her out of this might have been the best and easiest decision the editor could have made , but I guess her name on	a poster means	something .
http://griddle.baseballtoaster.com/archives/561708.html	1 ) That old bear mascot looked	a lot meaner	, they should have kept it .
http://guyism.com/lifestyle/advice/the-50-best-party-cities-in-the-world.html	London will always be a top party city , if only because it 's importance as	a city means	that so many young , vibrant people end up congregating there .
http://heliophage.wordpress.com/2012/07/11/some-of-what-i-think-about-geoengineering/?replytocom=1545	So , while I can offer nothing about geoengineering , I can say a great deal about atomic energy - and I 've done so in	a way meant	to appeal to lay readers .
http://www.expats.org.uk/features/trailingspouse07.html	A computer and	a modem means	that you can access articles , reports and information from all over the world from the comfort of your home without needing to trek to libraries and campuses .
http://java.about.com/od/beginnerlevel/a/oddmagicsquare.htm	If such	a move means	you fall off the square , wrap around to the row or column on the opposite side .
http://www.howtogeek.com/school/microsoft-excel-formulas-and-functions/lesson1	To nest	a function means	put one function inside another .
http://hortiplex.gardenweb.com/plants/help.html	This icon within	a match means	GardenWeb and / or its members have uploaded images of this plant .
http://hortiplex.gardenweb.com/plants/help.html	This icon within	a match means	GardenWeb members have uploaded opinions of this plant .
http://hortiplex.gardenweb.com/plants/help.html	This icon within	a match means	that there is information available at other sites .
http://hortiplex.gardenweb.com/plants/help.html	This icon within	a match means	that there are images available at other sites .
