# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="can"][lemma="be"][word="found"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.nolo.com/products/everybodys-guide-to-small-claims-court-nscc.html?utm_source=nolo-content%26utm_medium=nolo%26utm_campaign=nolo-related-products%26utm_content=pid|29||pa|lawsuits%20and%20disputes||ref_src|http%3a%2f%2fwww.nolo.com%2f||ref_url|www.nolo.com%2flegal-encyclopedia%2flawsuits-court||sku|nscc15	If you pay close attention to the other party 's concerns , you may find that the key to arriving at	an agreement can be found	elsewhere .
http://johndenver.com/page/9	" More about this project and the criteria for naming	a peak can be found	in the petition HERE .
http://forums.mercedesclub.org.uk/archive/index.php/t-43297.html	You can post it to me , and I will check all parts free of charge , , no guarantee that	a fix can be found	.
http://www.bbc.co.uk/blogs/jimspence/2012/02/is_the_phrase_the_old.html	If	a way can be found	to make up the shortfall in income from an SPL that is bigger but has less fixtures then other Scottish clubs could benefit from Rangers ' difficulties .
http://www.lookinguntojesus.net/20030427.htm	Brother Dye made the point in his lesson , " I am convinced that were it not for the influence of Mt 24 and Mk 13 no one would even think twice about Lk 17:20 -37 referring to the destruction of Jerusalem , yet not	a word can be found	in Lk 17:20 -37 about Jerusalem .
http://www.lut.ac.uk/gawc/rb/rb264.html	A similar approach to classifying nodes in	a network can be found	in Taylor & Derudder ( 2004 ) , in which the authors order European cities based on their position in the world city network created through the globalized location strategies of advanced producer services firms .
http://www.f1fanatic.co.uk/members/icthyes	However restricted things are , the top teams will still spend millions more than the smallest on the remaining areas where	an advantage can be found	.
http://www.prismrec.co.uk/blog/page/16	If	a way can be found	to maintain customer intimacy that provides benefits for both parties , then it can only lead to greater cooperation in the future .
http://www.stokemuseums.org.uk/pmag/hoard/faq/index.html?sid=f581aca1b4787e4bb9e58b340d2fe146	The Treasure is currently held by the British museum ( on behalf of the DCMS ) keeps the Hoard safe until	a buyer can be found	and the money raised .
http://www.onlineclarity.co.uk/friends/archive/index.php/t-3777.html	Hex 29 lots of problems to be overcome but with a sincere wish to win through , then	a solution can be found	and a successful outcome achieved , so that she can carry on at the school , thus continuing to provide her with nourishment .
http://www.honestjohn.co.uk/forum/post/index.htm?t=49379	, until	a committee can be found	and formed , hence my original question regarding the Email .
