# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="feel" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.sclero.org/support/emotional-adj/humor/medical-misadventures.html	Here 's an array of great party items for use whenever you or	a friend feel like	properly groveling around in depression , anxiety , and general overall misery .
http://gameological.com/2012/04/tony-hawks-pro-skater-3-airport	It 's a tough feat to pull off , but when	an area feels like	a real place where crazy video game madness happens to be going down , it really helps the feeling of immersion .
http://www.polygon.com/2013/7/4/4483422/how-mutants-monsters-and-baroque-swordsmen-inspire-die-gute-fabriks	" This idea of how can you make	a place feel like	a living , breathing place ?
http://www.armchairempire.com/Reviews/PC%20Games/ufo-afterlight.htm	As a result of all this the stakes feel higher and losing a character or	a sector feels like	much more of a blow than in any of the previous UFO titles .
http://www.aaronsw.com/weblog/verysick	Imagine that their nails are knives and they 're scratching thru your brain and you can begin to imagine what	a migraine feels like	.
http://www.safespeed.org.uk/forum/viewtopic.php?f=23%26t=21362%26sid=6e3ee25400982b12eda2c52fbf3f9351%26start=20	O.K. , it may show to an experienced driver what	a skid feels like	but I cannot see how you can truly experience a proper skid and learn how to correct it this way .
http://icc.ucdavis.edu/LAB/articles/Wisdom_Serim.htm	I made the mistake of not planning and asking for help from an advisor in the beginning and such	a mistake felt like	a major setback to me .
http://justincasebook.wordpress.com/2010/06/18/mea-culpa	Giving him to	a shelter feels like	kicking the can down the road and making it somebody else 's problem .
http://www.gamepeople.co.uk/multi_360_left4dead2.htm	Sitting at home in front of the TV and playing Castle Crashers on	a console feels like	I 'm neglecting my other games .
http://bitesizebio.com/7844/tango-therapy	Additionally , there is a social aspect of Argentine Tango which makes	a person feel like	they belong to a community of people rooted in self-expression , full of meaning and soulfulness .
http://dearauthor.com/features/letters-of-opinion/does-length-matter	I tend to dislike novellas because it is rare for me to come away from	a novella feeling like	I got a good , full story .
http://dearauthor.com/features/letters-of-opinion/does-length-matter	And I often end	a book feeling like	it was too short to really do the story justice .
http://www.hrw.org/news/2014/05/01/witness-lack-support-japanese-orphanages	"	A day feels like	it never ends , " he said , sighing .
http://news.illinois.edu/postmarks/fall_2013/literary_journalism.html	" There 's a great deal of craft to learn , in terms of the elements that make	a story feel like	a story in the way that a piece of short fiction feels like a story , " Harrington said .
http://www.cookeandco.com/page/8/selling-selling-secrets	It is important to make	a garden feel like	a great space for relaxing , entertaining and safe for children and the family pets .
http://www.wpcentral.com/category/editorials	Picking up a Lumia 1020 feels ridiculous and borrowing a friend 's Apple iPhone 5 S to make	a call feels like	a joke .
http://www.cibcwg.com/web/michael-ramsden/climb-for-the-cure	Love can make	a man feel like	he can climb mountains .
