# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="be"][word="part"][word="of"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://gamasutra.com/blogs/PatrickCasey/20140530/218726/Roguelike_Item_and_Monster_Design_Revisited.php	Perhaps I should have the random number generator decide if	a monster is part of	the 25 % or so that CAN read and have the scroll effect reversed onto the player ?
http://itsoureconomy.us/2014/01/alive-in-the-sunshine	And it 's not particularly helpful to talk in generalities : the idea that The Environment is some entity that can be fixed with	A Solution is part of	the problem .
http://www.lut.ac.uk/gawc/rb/rb291.html	The dependent variable for this model , which is based on KMI Research Group Maps 8 ( 2001 ) , is a binary variable indicating whether	a region is part of	at least one backbone network or not .
http://www.ownaracehorse.co.uk/guest/services/service_faq.htm	However , injuries and waiting for the right race for	a racehorse are part of	ownership and are part of the experience , so we are unable to pay winnings on any transfers .
http://www.blogherald.com/2007/02/27/is-there-a-perfect-formula-for-problogger-payouts	This is a non-monetary benefit but will be considered by your bloggers as	a bonus being part of	your network .
http://rationalwiki.org/wiki/Richard_Dawkins	(	A fellow is part of	the governing body of the university .
http://www.golftoday.co.uk/news/yeartodate/2012_news/slow_play.html	Until someone gets a penalty shot , the stiffest punishment starts with a $ 20,000 fine for the 10th time	a player is part of	a group that gets put on the clock .
http://healthcareers.about.com/od/alliedmedicalprofiles/a/dosimetrist.htm		A dosimetrist is part of	the radiation oncology team , which helps to treat cancer patients via radiation therapy .
http://dvd.ciao.co.uk/The_Untouchables_Special_Edition__Review_5605654	For those of you unaware of the Capone story you maybe wondering why	an accountant is part of	this elite crime force , but this character is very pivotal in the story .
http://www.lawgazette.co.uk/news/sra-ponders-policing-referral-fee-ban	It is completely illogical that it would appear that our regulators will be able to stop a firm of solicitors paying referral fees but if	a solicitor is part of	an ABS they can ???
http://www.fas.org/news/reference/lexicon/deh.htm	Generally ,	a harbor is part of	a base , in which case the harbor defense force forms a component element of the base defense force established for the local defense of the base and its included harbor .
http://airnewstimes.co.uk/bernard-gustin-ceo-brussels-airlines-14956-news.html		A bankruptcy is part of	the life of a private company and every sector knows bankruptcies , so we should n't be shocked every time there is one , but we should make sure that we do n't focus on the individual cases .
http://www.smashingmagazine.com/2014/05/14/responsive-images-done-right-guide-picture-srcset	As long as	an image is part of	/ vital to the content , it should not be declared in CSS as a background , but as an image .
http://armsandthelaw.com/archives/ccw_licensing	Here 's the rub : if the offense of CCW were worded as " it is unlawful to carry a weapon concealed without a permit , " then lack of	a permit is part of	the offense , and until there is reason to suspect that , there is no probable cause .
http://www.davemckay.co.uk/philosophy/russell/russell.php?name=the.analysis.of.mind.07	We may express this by saying that a regular appearance is due to the star alone , and is actually part of the star , in the sense in which	a man is part of	the human race .
http://www.riverside.org.uk/midlands/east_midlands/news/local_news_-_east_midlands/teddy_bears_picnic.aspx	The project to convert the land into	a garden was part of	the Green Spaces for People programme funded by the Big Lottery Fund - a partnership between Riverside , Places for People and Peabody that will see the transformation of 75 neighbourhoods across England .
http://aidreams.co.uk/forum/index.php?action=printpage;topic=730.0	And hammering	a nail is part of	a hammer because unless you hammer a nail then you don ?
http://inform7.com/learn/man/ex249.html		A switch is part of	every stove .
http://inform7.com/learn/man/ex249.html		A switch is part of	every oven .
http://inform7.com/learn/man/ex249.html		A tap is part of	every sink .
http://inform7.com/learn/man/ex249.html		A drain is part of	every sink .
http://inform7.com/learn/man/ex249.html		A tap is part of	every bath .
http://inform7.com/learn/man/ex249.html		A drain is part of	every bath .
http://globality.cc.stonybrook.edu/?p=914	The postwar urban crisis in New York and in the United States as	a whole is part of	a larger history that reverberates and repeats itself like neurotic repetition through the history of modernity .
http://www.hltmag.co.uk/mar06/mart01.htm	The text presented here as	an example is part of	a true story .
http://www.bio.umass.edu/biology/kunkel/gjk/project/Project.htm	All lines following this line that start with	a space are part of	the same record .
http://oracledocs.shu.ac.uk/oracle/B28359_01/win.111/e10927/featUnique.htm	If	a column is part of	the property or the object , or both , it will be repeated for each occurrence of the column in the select list .
http://fixyourwritinghabits.tumblr.com/post/80151720886/this-is-why-i-call-bullshit-on-whining-about-diversity	Pushing yourself as	a writer is part of	the experience .
http://www.likesbooks.com/207.html	If	a book is part of	a series , then we have a chance to walk down those familiar streets again .
http://best-marriage-therapists-utah.teamwakeforce.com/tag/alimony-laws	sketchy account include child biggest divorces of the decade related tax issues can be some of the has kept the to get	a divorce are part of	this alimony .
http://www.ariadne.ac.uk/issue38/woldering	If	a collection is part of	a search result , it can be transformed into a search target so that the user can start a new search in this special collection .
http://calvinayre.com/2013/12/20/poker/world-series-of-poker-release-2014-schedule	Perhaps , being	a non-believer was part of	the problem , because my prayers were never answered .
http://asymptotia.com/2010/05/11/but-is-it-real-part-one	For example forces are said to be mediated by gauge bosons - quanta of gauge fields , but forces are definitely part of nature ,	a photon is part of	nature we experience photons all the time .
http://jonathanmoeller.livejournal.com	The reader should be able to tell at a glance that	a book is part of	the FROSTBORN series or THE GHOSTS SERIES .
http://code.tutsplus.com/articles/c-succinctly-introduction--mobile-22038	To me , an argument is a value that is passed in to a function when called in a program , whereas	a parameter is part of	the specification of a function that tells the programmer the function is expecting to receive a value of a certain type .
http://www.reading.ac.uk/internal/its/help/its-help-email/its-email-bulkmail.aspx	An exception to this is where receiving	an email is part of	you position as a member of staff or as a student , for example a departmental mailing list .
http://atheism.about.com/od/atheismreligionideology/a/AtheismBelief.htm	Some atheists are Buddhists , but this does n't follow automatically from atheism and it ca n't be claimed that being	a Buddhist is part of	what atheism is .
http://www.locallocalhistory.co.uk/schools/clissold/walk1/index-m.htm		A house is part of	the land it stands on .
http://co-bw.com/DIY_technology_of_envelope_controlled_effects.htm	Those controls labelled with	an asterisk are part of	the envelope detection circuitry .
http://www.purifymind.com/BuddhismSuicide.htm	It is possible that " using the knife " could be a locution which denotes suicide by any means , but I think this unlikely given that , as Wiltshire notes ( 19 83:13 0 ) ,	a razor is part of	a monk 's " kit " ( although apparently not referred to as sattha ) .
http://www.ph.utexas.edu/~gleeson/httb/section1_3_6_3.html	It turns out that if we think only about paths of objects , this answer may not be obvious , but happily , mathematics is no respector of applications , and if we allow ourselves to think of other systems , an example of such	a rule is part of	common experience .
http://www.abingdon.org.uk/overseas_admissions		An interview is part of	the process for all candidates .
http://blogs.piie.com/realtime/?p=2261	The interest of the IIF in this type of proposal suggests that many euro area banks would be willing to pay a substantial price to exit their current Greek bond exposures , especially if such	an exit were part of	an orderly debt exchange process helping Greece to reach a sustainable debt level .
http://bluenc.com/on-the-record%3A-talk-to-the-dome	The difficulty of defining who gets to call him or herself	a journalist is part of	what makes the drafting ( not to mention enforcement ) of such a law problematic .
http://forums.theregister.co.uk/user/16390	And does it make any difference if	an office is part of	a private residence , or business premesis ?
http://www.lcnp.org/wcourt/opinion.htm	The question whether	a norm is part of	the jus cogens relates to the legal character of the norm .
http://www.pilot.co.uk/destination_guide/europe/italy/venice_carnival.php	If your budget won¹t stretch to this , try finding a pumpkin and a fairy godmother or get	a job being part of	the entertainment .
http://books.nap.edu/openbook.php?record_id=5787%26page=61	Let them struggle with this and even make	a mistake-this is part of	science !
http://whatscookingamerica.net/salmon.htm	The distinctive color of the flesh of	a salmon is part of	its attraction .
http://clicks.robertgenn.com/artifacts-culture.php	The desire to be	a bricoleur is part of	an artist , a kid , an engineer .
http://www.newyorkemploymentattorneyblog.com	This case illustrates the problems with internship programs that do not satisfy the strict prerequisites and guidelines applied to determine whether	an internship is part of	a bona fide program or just a way for an employer to enjoy free labor .
http://heroeswiki.com/Cockroach	In a comment to 3.07 , the transformation of Mohinder into	an insect is part of	the cockroach imagery .
http://www.lostockhallmpd.org.uk/mena.html		An eye-test was part of	the examination .
http://ipira.berkeley.edu/excerpts-otl-fy09-annual-report	The spikes in the number of disclosures in FY 06 and FY 08 can be attributed to anomalies such a class project in which submitting	a disclosure was part of	each project team 's requirement .
http://www.nakedcapitalism.com/2012/05/gar-alperovitz-the-rise-of-the-new-economy-movement.html	" How do you determine if	a business is part of	the alternate economy or not ?
http://spartandaily.com/111396/homecoming-just-high-school	Even though	a nomination is part of	the requirement , Watts said , " You can pretty much nominate yourself or nominate someone else as long as that person is a full-time student , has at least a 2.5 GPA and is in good standing with the university .
http://theanarchistlibrary.org/library/albert-meltzer-anarchism-arguments-for-and-against	The manipulation of the idea of	a majority is part of	the Government technique .
http://www.charliegillett.com/bb/viewtopic.php?f=47%26t=18819%26sid=311d6e23cf7db41664b094d2425f461d%26start=30	Not to be overly personal about it , but I do feel that what your daughter does for	a living is part of	the problem .
http://faculty.arts.ubc.ca/sechard/344win.htm	The point here is not to argue that any one version is better or worse than the other , but rather , to show how an awareness of the different forms a text takes affect how we read it , and to make clear that the physical presentation of	a text is part of	a reader 's total experience .
http://www.thenightland.co.uk/nightglossary.html	Offering its fruits to	a suitor is part of	betrothal ritual .
http://www.redpepper.org.uk/Wanted-alternative-banking-system	Complex cross-border holdings , and the demise of Glass-Steagall in the US , necessitate that such	an approach be part of	a multilateral process but it can start at home by re-specifying the role of high street lenders .
http://meetings.sheffield.gov.uk/council-meetings/cabinet/agendas-2008/agenda-13-february-2008/shirle-hill-hospital-school	Consideration will be given to the feasibility of	a carer being part of	the implementation process .
http://www.wf-f.org/ManeNobiscumDomine.html	Being	a meal is part of	its very structure .
http://www.cfpf.org.uk/articles/background/snyder.html		An electron is part of	a family known as leptons .
http://www.injury-compensation-zone.co.uk/acoustic-shock-injuries	My boss has told me that I cannot claim compensation for acoustic shock injuries because I work in a call centre and wearing	a headset is part of	my job .
http://crookedtimber.org/2012/11/17/radicals-for-capitalism	To the extent that the prescribed moral imperatives of	an institution are part of	a kind of user interface for a game in a virtual , metaphysical space , then the moral imperatives have to be adapted " on one end " to the particular requirements of the particular institution , and " on the other end " to the capacities of human beings .
http://ivc.lib.rochester.edu/portfolio/google-search-hyper-visibility-as-a-means-of-rendering-black-women-and-girls-invisible/?replytocom=93358	The debates over Google as	a monopoly were part of	a Congressional Antitrust Subcommittee hearing on Sept 21 , 2011 and the discussion centered around whether Google is causing harm to consumers through its alleged monopolistic practices .
http://inform7.com/learn/man/ex136.html		A nose is part of	every person .
http://golem.ph.utexas.edu/category/2012/04/mathematical_cultures.html	The notion of	a group is part of	a theory .
http://www.qype.co.uk/place/159249-Chino-Latino-Nottingham	In the UK , the fact that	a restaurant is part of	a hotel is often good reason for not eating there , but nonetheless the Nottingham site continues to scoop rave reviews and was recently voted a top spot by readers of The Observer newspaper .
http://meta.wikimedia.org/wiki/India_Program/India_Program_Announcement_and_FAQ_-_30_July_2012	It is not a stand-alone budget in the same way that other programmatic budgets of the WMF or	a chapter are part of	the program plan of each entity .
http://yinzercation.wordpress.com/2013/11/08/six-questions-for-teach-for-america	I would think you would want to do this since the placement of librarians in all schools howbeit only for	a day was part of	the BOEs plan to provide equity in good measure .
http://www.emmitsburg.net/archive_list/articles/thoughtful/ccc/2013/one_body3.htm	If you 're a carpenter , swinging	a hammer is part of	your ministry , being a good employee is part of your ministry .
http://www.bbc.co.uk/news/magazine-15213824?postId=110511788	But such	a dynamic is part of	the words ' evolution , says Joel Rose , director of OCD Action .
http://www.whatnextjournal.co.uk/Pages/Sectariana/Solidarity.html	Printing such	an article was part of	a move away from anarcho-pacifism .
http://accainpractice.newsweaver.co.uk/accainpractice/9bd4q3jbw1f?a=6%26p=8417484%26t=17226994	In contrast a change in the scheme liability arising from a change in	an assumption is part of	actuarial gains and losses and is recognised in the statement of total recognised gains and losses .
http://www.thefword.org.uk/blog/2009/01/rachida_dati_fr	Regardless of her professional position , her role as	a mother is part of	her personal life ; she should n't have to justify her actions , nor amend her behaviour to do what is seen as the " right thing " by the standards of people she does not know .
http://www.filmstalker.co.uk/archives/2006/03/hills_have_eyes.html	And the fact that	a baby was part of	the family did make me even more wary .
http://www.garenewing.co.uk/angloafghanwar/marchtokandahar/regiments_march.php		A squadron was part of	the failed attack on Deh Khoja in August , before Roberts ' relief column arrived , complete with the Kelat-i-Ghilzai Sinds , at the end of the month .
http://de-conversion.com/2008/10/31/the-psychology-of-apologetics-ethics-and-morality	But I resist that conversation here because I think the emotional need for such	a ground is part of	the problem in the first place , at least for many struggling with de-conversion from fundamentalism .
http://inmotion.magnumphotos.com/essay/khmerboxing	It 's true that Khmer influenced Thailand in the past but in Thai history , there were many stories or articles that tell about	a boxing is part of	our original culture and also Burma .
http://oracledocs.shu.ac.uk/oracle/B28359_01/server.111/b28319/logminer.htm	If	a password is part of	the statement in a column , the password is encrypted .
http://www.homebuilding.co.uk/advice/beginners/plots/access-issues	If	a plot is part of	the garden of a house that has a right of access over private land , then you must make sure that the right of way is applicable to the new house .
http://borderhouseblog.com/?p=8718	No aspersions against your character are intended , no insinuations about your moral constitution are meant , no slight against your passion as a game lover nor against your skill as	a developer are part of	this critique .
http://www.creditman.co.uk/uk/forums/viewThread.asp?MessageID=49007%26ForumID=27	Extending credit is a major part of a companies offer to its customers ( especially in the current climate ) so firstly its actually part of the product development process and as	a consequence is part of	the strategic marketing of a company and can be a Unique Selling Proposition .
http://alphavilleherald.com/2008/02/new-permissions.html	I do n't want to go into a store and have my profile pick all of	a sudden be part of	your decor .
http://www.2-in-2-1.co.uk/forums/archive/index.php/t-4009.html		A ring is part of	western tradition , nice but not entirely necessary .
http://www.autocar.co.uk/car-review/first-drives/porsche-boxster-27?page=3	At the opposite end of the scale , the ability to remap the engine ( and gearbox 's ) responses via the push of	a button is part of	what makes the Boxster 's improved economy possible - and while the default setup lacks the whip-crack riposte of the thirstier alternatives , its easy-to-live-with congeniality underlines the roadster 's continuing appeal as a use-everyday machine .
http://archive.scottish.parliament.uk/business/committees/tram-one-bill/or-04/e104or-1202.htm	Projections that show	a surplus are part of	the net present value and the value-for-money calculations for the project .
http://best-marriage-therapists-utah.teamwakeforce.com/16009/how-much-is-a-marriage-license-in-dallas-tx	best wishes on marriage day The reasons as women to notice you for done with your wife through	a divorce are part of	your ability to have a protracted split .
http://pubs.socialistreviewindex.org.uk/sr178/art.htm	But this hides the fact that if	an individual is part of	an institution that can only exist and maintain itself through corruption then the individuals themselves will become at least as corrupt .
http://www.inthe80s.com/dynamic/challenger19.shtml	We were watching it live because it was the first time that	a teacher was part of	the crew .
http://www.fdic.gov/consumers/consumer/interest-only/index.html	Owning	a home is part of	the American dream .
http://blog.supplysideliberal.com/archive/2013/3	The truth of	an opinion is part of	its utility .
http://calvaryroadbaptist.org/christmasLetter.php	May own opinion is that such	a trend is part of	the slide into postmodernism , and I will resist that trend with everything I have .
http://ct.counseling.org/tag/career-employment-counseling/page/2	If	a client is part of	a couple , that aspect will also inform the client 's career decisions .
http://www.filmcomment.com/entry/interview-joshua-oppenheimer-the-act-of-killing	And to quote Godard , forgetting	an extermination is part of	the extermination .
http://iipdigital.usembassy.gov/st/english/publication/2012/09/20120925136558.html	Equally important , you create a situation in which people affected by	a problem are part of	its solution .
http://www.arlev.co.uk/yomkippu.htm	The problem with all Jewish sources of later celebrations of festivals is that we can think that , because	a tradition was part of	the ceremony , it has to be fulfilled by Christ .
http://www.teachersfirst.com/lesson-plans.cfm	This lesson for early literacy skills and creating	a book is part of	a collection of lesson plans featuring multi-sensory approaches to help all learners , including special needs students who benefit from multiple experiences with concepts .
http://bmcr.brynmawr.edu/1995/95.09.27.html	If	a work is part of	a series , such as the supplements to the JHS for example , it can also be found through this search option .
http://www.articledepot.co.uk/article-267243.htm	With all of the available medicine to cure sinusitis , always remember that consulting	a doctor is part of	the selection process .
http://www.marketoracle.co.uk/Article29271.html	Good managers come to understand that mistakes in	a company are part of	the data of history and cannot be undone .
http://www.rowan.edu/provost/registrar/courseequiv.html		An equivalency is part of	an articulation agreement between two institutions facilitating accurate and efficient transfer between those institutions .
