# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="be"][word="something"][word="that"][word="you"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.friesian.com/wisdom.htm		A joke is something that you	have to " get , " that must be understood .
http://apple.slashdot.org/story/13/05/01/2220244/move-over-apple---samsung-files-for-a-patent-on-page-turn	Getting	a patent is something that you	should earn by producing something genuinely novel that advances our society and can net you money .
http://www.apartmenttherapy.com/eames-knock-offs-fakes-copies-81906	Once upon a time ,	a chair was something that you	put your butt on when you wanted to rest ...
http://www.paydayloan.co.uk/pages/financial-jargon.html		An investment is something that you	invest time , effort or money into in order to someday make a profit from it .
http://www.cardiff.ac.uk/maths/research/researchgroups/numbertheory/advice/index.html		A problem is something that you	are approaching from the wrong direction .
http://graduatefog.co.uk/2011/1285/university-careers-advice-update-anne-wilson	Too many grads are still thinking that	a career is something that you	pick from a list , aged 21 and then just ' do ' , climbing the ladder until you reach retirement .
http://www.ukgreenhousesales.co.uk/blog		A greenhouse is something that you	look at every day , something that can feed your family and also a structure that will provide decades of enjoyment and interest for ourselves and our children .
http://1000awesomethings.com/2012/03/30/15-becoming-a-regular-somewhere	Been regular on	a place is something that you	see on comedy series like How I Met your Mother and Friends , and as we see it is always funny and awesome .
http://www.syncleadership.co.uk/Natural%20skills%20and%20talents%20-%20easy%20read	Sarah thinks a skill is something you learn but	a talent is something that you	have inside yourself .
http://clicks.robertgenn.com/about-space.php	A Barnett Newman quote I 've always liked : "	A sculpture is something that you	bump into when you back up to look at a painting " .
http://www.companyrescue.co.uk/glossary-of-insolvency-terms	Liability -	A Liability is something that you	owe to somebody , i.e. a mortgage , loan payment credit / store cards .
http://www.rodsmith.org.uk/philosophy%20glossary/philosophy%20glossaryN-Q.htm		A proposition is something that you	could hold , or believe , or put forward as a claim .
http://cmcweb.ca/eic/site/cmc-cmc.nsf/eng/fe00133.html		An asset is something that you	own fully ( you do not owe any money on it ) .
http://golem.ph.utexas.edu/category/2008/10/entropy_diversity_and_cardinal.html	For example , the diversity of species in	a field is something that you	should be able to measure by taking samples here and there e.g. by throwing down quadrats , those metre-square frames ) - it has nothing to do with how big the field is .
http://www.geofftech.co.uk/america/index.html	Except do n't say flask to an an American , use the word Thermos instead , because	a flask is something that you	would only put liquor in .
http://blog.mypersonalbrilliance.com/page/4		A habit is something that you	do so often and so regularly that it becomes automatic .
http://www.baggagereclaim.co.uk/what-do-you-believe-in-about-you-your-beliefs-tell-you-what-you-think-are-your-capabilities-in-that-capacity		A belief is something that you	believe to be true .
http://www.shyamspace.com/satsang/v17-01-05/v17n04.htm	Dikpal :	A mystery is something that you	do not know and you want to know .
http://aurorasmessage.com/blog17/?p=104%26replytocom=138	A resolution to me is temporary ( since it only lasts a year ) , whereas	a pledge is something that you	take to heart and do for yourself on a permanent basis .
http://bethanyhamilton.com/2012/09/japan/comment-page-1		A memoir is something that you	have to write a short story based on your life and what inspired you through out the years .
http://www.foodandwine.com/articles/jim-meehan-cocktail-primer	Starting	a bar is something that you	should do piece by piece , starting with single recipes .
http://www.raes-fsg.org.uk/cgi-bin/yabb3u/YaBB.pl?action=print;num=1328085834		A watch is something that you	wear every day unlike a piece of clothing or even jewelry .
http://technicallyeasy.net	To you ,	a computer is something that you	may use for going online , checking your e-mail , playing video games or do work .
http://www.howto.co.uk/wellbeing/the-a-z-of-home-security		A countermeasure is something that you	can do to improve your security and safety .
http://www.goodtoknow.co.uk/family/265478/Your-first-year-with-twins/print/1	That said , multi-tasking is a very useful skill in situations like this and rocking one baby to sleep with your foot while giving the other one	a bottle is something that you	'll do well to master .
http://www.grangehillfans.co.uk/schoolyard/index.php?/topic/783-why-tucker/page__st__20__p__8322	Also , " Bullet " Baxter -	a bullet is something that you	get in a gun , so was this an indication that Baxter was tough ?
http://blog.momekh.com/2011/12/22/how-to-create-a-company-that-can-run-without-you/?replytocom=3422	For my new readers : around here , a business is considered a set of systems that you set up to make money - and	a profession is something that you	like to spend your time on .
http://yoz.com/wired/2.11/features/gaiman.html		A comic is something that you	as a reader construct , because you 're taking a picture , you 're taking words , and you 're laying them together .
http://www.bbc.co.uk/blogs/pm/pmprivacy-asr.shtml	If they did n't talk about a story -	a story is something that you	read to children at bedtime that is pleasant .
http://www.mcafee-downloads.co.uk/Articles/email-attachments.html	Who can remember the early days of the internet , when getting an e-mail was such a big deal , and one with	an attachment was something that you	had to take a glass of water before opening it .
http://svpow.com/2012/05/02/how-elsevier-can-save-itself-part-3-hard		A petition is something that you	sign to try to persuade someone to change their mind about something .
http://mutantreviewers.wordpress.com/2014/01/10/with-honors	And seeing Joe Pesci in the bathtub with Viking horns and	a plunger is something that you	need to experience at least once in your life .
http://cascade.uoregon.edu/spring2013/expert/expert-article		A headache was something that you	get if you were worrying a little too much or you did n't sleep well .
http://www.ibm.com/developerworks/linux/library/l-cairo/?ca=dgr-lnxw03linuxcairo%26S_TACT=105AGX59%26S_CMP=GR	In cairo ,	a pattern is something that you	can read from , that is used as the source or mask of a drawing operation .
