# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="look" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://www.bluecoat.gloucs.sch.uk/key-stage-2/class-11-blog/590-myths-and-legends140	Mermaids We all know what	a mermaid looks like	, it is half human half fish , the top half of her is female and the bottom half is fish , instead of legs like us she has a tail and she can breathe under water .
http://www.artquest.org.uk/articles/view/alison-jackson-s-sven	Essentially , it aims to prevent confidential information ( including what	a person looks like	in private ) , acquired ( through say a still photograph or moving picture image ) in confidential circumstances , from being exposed to the public .
http://blog.hackingcough.com/author/chris-edwards-1/2007/03	Just understand that not everybody uses Outlook to receive email - and being clever with release layouts will make you look really stupid to people who receive	an email looking like	this .
http://idontblog.ca/how-does-the-sperm-get-to-the-egg	Meanwhile , I 'm fairly sure I did n't even know what	a penis looked like	till I was of voting age and I 'm still in shock over having that conversation .
http://foxyten-inch.tumblr.com	wanna know what	a cow looks like	washed and blow dried ?
http://www.dailymail.co.uk/sciencetech/article-1363395/Aliens-earth-Nasa-scientist-claims-world-bacteria-hold-key-existence.html?ITO=1490	Is this what	an alien looks like	?
http://www.guardian.co.uk/media/2008/aug/18/bbc.television	That 's a presenter plus film crew sent halfway across Europe to show us no more than what the outside of	a stadium looks like	.
http://www.newburytheatre.co.uk/archive/200110e.htm	' Who wants to see	a dwarf looking like	a war widow , when they can have Doris Day ?
http://opinionator.blogs.nytimes.com/category/draft	' Show , Do n't Tell ' This means describe what	a setting looks like	, how a character feels , what they are saying .
http://www.bibleinterp.com/articles/tab368003.shtml	So , it is clear to me that this is the image of a fish , drawn by someone who knows what	a fish looks like	.
http://www.transmission1.co.uk/forum/viewtopic.php?f=34%26t=20945%26p=178920%26sid=0d2bc3252865e424b7c9e541ee5f0283	Is an RF can and an RF choke the same thing I know	a choke looks like	a resistor ( or at least the 100 uh one I found does ) and a can is usualy one of the little tunable things you find in a cb ect .
http://www.learningtogive.org/lessons/unit5/lesson4.html	Pre - service : Draw a picture of what they believe	a river looks like	before cleaning it up and a picture after it is cleaned up .
http://www.virtualquarry.co.uk/text/textquarryscience.htm	Use the ' Virtual Quarry ' Tour so the children are aware of what	a quarry looks like	and what processes are involved in quarrying .
http://de-conversion.com/2008/06/29/why-d-c-7-where-are-you-jesus	I am not exactly sure what	a snivel looks like	, but I digress .
http://www.digitalsecrets.net/secrets/curves.html	For fun , let 's see what	a curve looks like	when it is NOT continuous .
http://www.federalreserve.gov/newsevents/speech/bernanke20110614a.htm	What would such	a plan look like	?
http://www.hebdenbridge.co.uk/bridge/96.html	If this is what	a crime-wave looks like	, those solid citizens should be sleeping soundly enough .
http://blog.sigfpe.com/search?updated-max=2008-01-26T14%3A40%3A00-08%3A00%26max-results=20%26start=14%26by-date=false	What would such	an answer look like	?
http://www.cemexangling.co.uk/forums/archive/index.php/t-153276.html	As for the cradle being in pictures , isnt it better the fish is safe rather than what	a picture looks like	?
http://www.indymedia.org/en/2007/01/878667.shtml	I met her just outside the WSF gates where she and her group were selling tee shirts with " This is what	a feminist looks like	" printed on them .
http://www.shetlandtimes.co.uk/2009/04/17/come-and-join-us-on-cliff-top-walk-from-ireland-to-maywick-%e2%80%93-there-is-lots-to-see	Upstream from the Dyke End Geo stood what from	a distance looked like	the remains of a mill .
http://asterisk.apod.com/viewtopic.php?f=8%26p=226518%26sid=cf6f5c0eda20a451725e05e521d814e0	It is good when	an artefact looks like	an illusion of something real .
http://www.healthandsafetytips.co.uk/forums/viewtopic.php?f=12%26t=12139%26sid=d727c097ea2120c8c33b0540ec005192	If	a word looks like	a swear word , it will be edited .
http://forum.onsmart.co.uk/viewtopic.php?f=13%26t=1257%26sid=3c0d7cbdb8df1d2fbaecbfd93691b6b4	More pictures to show what	an engine looks like	after only 30 K miles .
http://blogs.ajc.com/bob-barr-blog/2010/05/24/nanny-state-goes-global	And what might such	a medal look like	?
http://blastmagazine.com/entertainment/tv/wilfred-uncertaintycomfort-episode-reviews	This show is a prime example of what	a show looks like	when it manages to showcase both its comedic integrity but also its nifty way of incorporating dark themes into the lighter outline in order to shock its viewers .
http://www.bbc.co.uk/blogs/nickrobinson/2009/05/parliaments_rep.html?postId=79734932	That must be some feat , to be able to drag Parliament into even further disrepute , because to me launching such	an investigation looks like	sour grapes .
http://www.drwhofigures.co.uk/forum/viewtopic.php?f=30%26t=1931%26sid=82d0f6918204a1e5a867bbb6e0b9e2b4%26view=print	Otherwise I suppose I imagine	an actor looking like	the figure who speaks as I imagine .
http://www.mssl.ucl.ac.uk/www_solar/PUS/PO/explosions.html	This is what	a flare looks like	when we look at it in X-rays with the Yohkoh satellite .
http://kyan.deviantart.com/journal/I-also-hate-my-body-232835592	( Incidentally I do n't much care what	a woman looks like	personally .
http://fcit.usf.edu/florida/docs/t/tortugas.htm	" The next morning he came up the walk with	a bag looking like	a bag of potatoes , slung over his shoulder , and seeing me in the hall , came in .
http://exterminators.networx.com/c.Roughneck-Pest-Control	I have no knowledge of this area and couldnt even tell you what	a bedbug looked like	, he could have easily came into my home and charged me for services I didnt even need !
http://iainabernethy.co.uk/content/critics-and-karate	However , in karate these days we rarely use this functional success criteria and instead have introduced artificial success criteria such as what	a punch looks like	or how closely it conforms to the arbitrary dictates of a given " style " .
http://rense.com/general78/hbc.htm	At 51 years of age I know what a plane or	a meteor looks like	.
http://fametastic.co.uk/archive/20060906/2448/photos-of-suri-cruise-appear-on-the-cover-of-vanity-fair	The way some people act around babies , it really does n't seem to matter what	a baby looks like	, it 's a baby , therefore automatically " gorgeous " , " divine " or " cute " .
