# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="sound" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://johnrennie.net/2010/08/09/do-open-networks-threaten-brands-pt-1/?like_comment=158%26_wpnonce=9c636e70fe	On the face of it , though , such	a scheme sounds like	it would lack the necessary nimbleness to thrive .
http://darkzero.co.uk/game-reviews/fracture-xbox-360-ps3	Even though the premise of making your own cover , jumping out from behind it , and taking down	an enemy sounds like	fun , it turns out not to be .
http://jeff560.tripod.com/amos.html	We would certainly have to excuse that potential inaccuracy if no one knows what	a voice sounded like	.
http://www.ericdsnider.com/movies/go-for-sisters	If the idea of two 40 - something black women , one a wily parole officer and one a prison-hardened lesbian , hunting down clues to solve	a mystery sounds like	it should be a weekly TV series , I agree with you .
http://danudin.wordpress.com	If you would like to hear this uniquely Australian Bird go HERE and read down to Family Life and click onto the link marked " this is what	a kookaburra sounds like	" , a little quiet but nice and long .
http://freakytrigger.co.uk/ft/2010/08/i-wanna-be-a-macro-man	These days we do n't need critics to tell us what	a song sounds like	- if we bother to read a music blog then it 's likely that we are interested in the writer 's opinion , formed by how they relate to the artist or the music .
http://www.econtalk.org/archives/2007/04/taleb_on_black.html	Casino story : Running	a casino sounds like	an easy way to make money ; but what about other problems of running a business ?
http://www.drdobbs.com/programmers-bookshelf/184408418	" Hardware support " for	a feature sounds like	it should always be better than " doing it in software .
http://gfxzone.planet-d.net/articles/the_desintegration_by_danny-article.html	Create all your own sounds by constructing waveforms by hand , and just using your memory on what	a guitar sounds like	?
http://www.astraownersnetwork.co.uk/archive/index.php/t-66082.html?s=3ebec3905b8adb0cb82943509f962036	the 1.8 's are very thirsty but dont put out the power to suit the thirstyness , I think i could live with	a car sounding like	a tractor when you look at the other facts and figures , half the road tax is very appealing :) Just read the parkers reviews and comparing the 2 cars the VVT seems to be spec 'd at 6 mph slower top end at 118 MPH ?
http://www.dailymail.co.uk/sciencetech/article-1351054/Crows-magpies-trapped-killed-cull-protect-songbirds.html	Mr RSPB please , before it is too late , do something about it so that my grand kids know what	a songbird sounds like	and not part of history .
http://www.orkneycommunities.co.uk/imagelibrary/picture/number19848.asp		A reunion sounds like	a good plan !
http://www.bbc.co.uk/blogs/rugbyworldcup/2007/10/fiveaside_rugby_anyone.html	7 points for	a try sounds like	an interesting suggestion ...
http://www.psychexchange.co.uk/discuss/view/2030	Hammering out	a solution sounds like	a plan !
http://www.anvilfire.com/FAQs/archives/g122011d-744.htm		A box sounds like	a good idea for rigidity , but you 're going to have to deal with distortion from the welds .
