# = BASIC =============================================================
# QUERY:         [lemma="a(n)?"][tag="NN"][lemma="feel" & tag!="N*"][lemma="like"]
# CORPUS:        encow16a-nano
# SUBCORPUS:     None
# = CONFIG ============================================================
# MAX_HITS:      -1
# RANDOM_SUBSET: -1
# ATTRIBUTES:    word
# STRUCTURES:    
# REFERENCES:    doc.url
# CONTAINER:     s
# CNT_LEFT:      0
# CNT_RIGHT:     0
# DEDUPING:      True
# = CONCORDANCE TSV ===================================================
doc.url	left.context	match	right.context
http://tonygill.co.uk/yeahtherewas.htm	Mike smiled as he looked at his homemade bandage , and said " You sure know how to make	a man feel like	a kid , do n't you Jess !
http://gameological.com/2012/10/steven-johnson-author	Yeah , I feel the same way about N. Watching my little ninja hit	a minefield feels like	I 'm being rewarded for failure .
http://www.babycentre.co.uk/stages/3200/?printFriendly=yes	And	a minute feels like	an eternity , anyway !
http://en.citizendium.org/wiki/Transpersonal_psychology	I know what	an elephant feels like	when he is angry or sexually aroused , and what it is like when water enters his trunk .
http://blogs.plos.org/neurotribes/2012/11/15/music-to-write-by-10-top-authors-share-their-secrets-for-summoning-the-muse	Sometimes , being	a writer feels like	getting paid to pull a rabbit out of a hat over and over again - but each time it has to be a new breed of rabbit , " miraculously " emerging from a different style of hat .
http://buzz.eewmagazine.com/eew-magazine-buzz-blog/2014/5/6/controversy-is-td-jakes-downplaying-god-to-sell-more-books.html	Truthfully , if destiny fulfillment was really based on what	a person felt like	they should be doing , Moses would have never delivered the Israelites from Egyptian slavery .
http://www.blacksunjournal.com/television/1364_full-sean-prophet-kulr-tv-interview-at-youtube_2008.html	You might gain some insight from the experiences of a neuroanatomist who had	a stroke-and felt like	she had found nirvana .
http://kelspencer.com/2011/01/19/spencerism-independent-women-what	Women will be alone if you make	a man feel like	you DON ' T NEED HIM !!!
http://www.bbc.co.uk/ulsterscots/learn/lesson/8	Whun Thursday nicht cum A declare	A jist felt like	a man that wuz gaun tae be hanged .
http://ituniverse.co.uk/uiuyeqk.html	Real Palm Trees make	a home feel like	home by giving you the feel of nature inside or out .
http://memeburn.com/2010/08/cell-c-responds-to-facebook-youtube-jibes-with-full-page-newspaper-ad	What does running	a startup feel like	...
http://irvingruan.com/post/636662152/i-highly-recommend-watching-sir-ken-robinsons	You know this , if you 're doing something you love ,	an hour feels like	five minutes .
http://news.illinois.edu/ii/12/0419/cdsa.html	" You could easily call Purdy the unit ' cheerleader ' because he is always upbeat , nudging others to perform well and making	a person feel like	they can meet and accomplish a challenging situation , " said Cindy Kelly , the head of library human resources .
http://ct.counseling.org/2014/04/page/2	" I respect not immediately disclosing the pregnancy , especially if you are n't planning on going on maternity leave immediately and feel you have time to broach the topic later , " she says , " but to be told via text message while canceling	an appointment feels like	a boundary issue .
http://www.usatoday.com/story/travel/destinations/2013/08/02/enchanted-highway-sculptures-north-dakota/2603189	Weighing 78 tons , it makes	a minivan feel like	a mini Cooper .
http://www.vitae.ac.uk/53721/Sam-consultant-PhD-in-immunology.html	At that time I could n't see any other careers that grabbed my enthusiasm and	a PhD felt like	a natural progression from what I was already doing ( research student in a Swiss institute ) .
http://www.eyeforfilm.co.uk/review/hurly-burly-film-review-by-angus-wolfe-murray	When	a film feels like	a play , it becomes static .
http://worldofarsenal.co.uk/2009/07/13/arsenal-agree-fee-with-man-city-for-adebayor	Nick has height but makes	a snail feel like	usain bolt !
http://alltherecords.tumblr.com/tagged/recordreview	Which can be nice sometimes , when	an album feels like	it needs to be listened to all at once because all the songs flow perfectly into one another - and this album does that a little bit , but I 'm not feeling that emotional about this music .
http://explorefaith.org/resources/books/anne_rices_spiritual_memoir.php	In an otherwise deeply contemplative , even broody , memoir , such	a lacuna feels like	a glaring omission , but the reader gets the distinct impression that some events in Rice 's life are simply too painful for her to discuss .
http://comet.lehman.cuny.edu/sormani/mathclub/english.html	On the other hand , if	a course feels like	an easy A : do n't just aim for the A , ask the professor for extra reading .
http://littleredboat.co.uk/archives/date/2010/08	If there 's anything that can make	a girl feel like	she 's just walked into a science fiction novel , it 's alighting at a station called West Portal .
http://goodcomics.comicbookresources.com/2010/07/05/she-has-no-head-wonder-woman-600	So you 've got Simonson and Simone trying to pack in story arcs and massive guest stars and then you 've got Johns just kind of ambling along with a little pseudo introduction to JMS ' relaunch piece that goes nowhere ... and it makes	a reader feel like	this book should have been much better coordinated .
http://getinmedia.com/articles/b-roll?page=3	If	an artist feels like	their free material is detracting from sales , they can always monetize it later , said Eric Henry , senior director of Rostrum Records , the label that manages Wiz Khalifa .
http://devdutt.com/articles/leadership/warm-welcome.html	If	a bride feels like	an outsider , she will resist integration into the household .
http://www.tvthrong.co.uk/tag/the-hotel-inspector	" You have to make	a man feel like	he 's not waking up in Barbara Cartland 's underwear , " she insists .
http://www.top100golfcourses.co.uk/htmlsite/productdetails.asp?id=295	The par 3 sixth hole into the wind is as hard as any hole and holes 7 , 12 and 13 are par 4 's at over 440 yards and into the wind	a bogey feels like	a birdie , superb golf course of which I pride myself on being a resident of the town of Portrush .
http://palimpsest.org.uk/forum/archive/index.php/t-1118.html	There was too much detail and not enough immersion ; and , because the tone was the same throughout - of an overview rather than a living , breathing story - the whole thing as	a result felt like	all build-up and not enough consummation .
http://classracegender.wordpress.com/2014/04/30/this-is-the-very-threshold-of-revelation-sometimes/?replytocom=1762	I think that larger calls to action appear to be disregarded because	a visitor feels like	they are sympathetic , yet ultimately removed from the issue being discussed .
http://www.mikeindustries.com/blog/archive/2005/09/mint-the-flavor-of-the-month	Toning down the photo grid	a bit feels like	the right move .
